max_job,total_students,mean_votes,ratio
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,186,0.13,0.68
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,180,0.13,0.65
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",96,0.07,0.35
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,77,0.06,0.28
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,54,0.04,0.2
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,55,0.04,0.2
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,36,0.03,0.13
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,35,0.03,0.13
אשכול תפקידי רפואה_חובשת קדמית,36,0.03,0.13
אשכול אבחון כוח אדם_המערך הפסיכוטכני,32,0.02,0.12
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,32,0.02,0.12
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,29,0.02,0.11
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,30,0.02,0.11
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,27,0.02,0.1
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",27,0.02,0.1
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,27,0.02,0.1
תפקידי לחימה_באיזו מידה תרצי לשרת,25,0.02,0.09
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,25,0.02,0.09
אשכול תפקידי מקצועות המחשב_חיילת מקצועות התקשוב,24,0.02,0.09
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,23,0.02,0.08
אשכול תפקידי רפואה_פרמדיקית,22,0.02,0.08
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,19,0.01,0.07
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,18,0.01,0.07
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,18,0.01,0.07
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,17,0.01,0.06
הדרכה ופיקוד בכלל הזרועות_מדריכת erp,16,0.01,0.06
אשכול תפקידי רפואה_מדריכת חיל הרפואה,15,0.01,0.05
תפקידי לחימה_לוחמת ימית,14,0.01,0.05
הדרכה ופיקוד בכלל הזרועות_מדריכת פיקוד העורף,11,0.01,0.04
"אשכול דוברות וקישור_מש""קית קישור לכוחות",12,0.01,0.04
אשכול תפקידי מבצעים ומודיעין_בקרית שליטה ימית,12,0.01,0.04
אשכול תפקידי ארגון ומנהלה_מנהלה תעופה וסביבת,12,0.01,0.04
"אשכול תפקידי שיטור_חיילת משטרה (שח""ם)",10,0.01,0.04
אשכול תפקידי פקידות וסיוע_רשמת משפטית,8,0.01,0.03
אשכול תפקידי חינוך הוראה והדרכה_מורה חיילת,8,0.01,0.03
אשכול תפקידי רפואה_סייעת רופא שיניים,8,0.01,0.03
"אשכול מקצועות טכניים טכנולוגיים_מפעילת קש""ב טקטי",7,0.01,0.03
אשכול מקצועות טכניים טכנולוגיים_מנוענית/ימאית,8,0.01,0.03
"הדרכה ופיקוד בכלל הזרועות_מדריכת שו""ב",9,0.01,0.03
תפקידי לחימה_חובלים,8,0.01,0.03
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל הטכ,6,0.0,0.02
הדרכה ופיקוד בכלל הזרועות_מדריכה בחיל הטכנולוג,5,0.0,0.02
מסלול ייעודי לקצונה_קצינה בחיל הטכנולוגי,5,0.0,0.02
הדרכה ופיקוד בכלל הזרועות_חונכת מקצועית,6,0.0,0.02
אשכול תפקידי שיטור_לוחמת מעברים,5,0.0,0.02
אשכול תפקידי חינוך הוראה והדרכה_מדריכת נוער בסיס,5,0.0,0.02
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן סדיר",6,0.0,0.02
אשכול תפקידי שיטור_חיילת בשירות בתי הסו,2,0.0,0.01
אשכול תפקידי ארגון ומנהלה_טכנאית אופטית,2,0.0,0.01
אשכול תפקידי ניהול משאבי אנוש_רכזת מידע,4,0.0,0.01
"אשכול תפקידי פקידות וסיוע_מש""קית מטה",3,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_מדריכת שר-אל,4,0.0,0.01
"אשכול תפקידי פקידות וסיוע_מש""קית מתנדבים",2,0.0,0.01
אשכול תפקידי לוגיסטיקה ואחזקה_משגיחת כשרות,2,0.0,0.01
אשכול תפקידי מבצעים ומודיעין_תצפיתנית בחיל האיסוף,4,0.0,0.01
"אשכול תפקידי רפואה_מש""קית שירותי רפואה",2,0.0,0.01
אשכול תפקידי רפואה_עובדת מעבדה רפואית,4,0.0,0.01
אשכול תפקידי שיטור_סיירת משמר הגבול (מג,2,0.0,0.01
אשכול תפקידי שיטור_שוטרת צבאית,4,0.0,0.01
אשכול תפקידי ארגון ומנהלה_נהגת רכב קל,2,0.0,0.01
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן מילואים",3,0.0,0.01
"אשכול תפקידי ניהול משאבי אנוש_רכזת ג""ל (גיוס לצה""ל",1,0.0,0.0
אשכול דוברות וקישור_נציגת שירות,1,0.0,0.0
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל האו,1,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_אחראית ניהול מלאי,1,0.0,0.0
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל הלוגיסטיק,1,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת מצנחים,1,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_טכנאית אופטית,1,0.0,0.0
אשכול תפקידי שיטור_אבטחת אישים בכירים,1,0.0,0.0
אשכול תפקידי ארגון ומנהלה_בוחנת תחמושת,1,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת בטחון שוטף,1,0.0,0.0
אשכול מקצועות תקשורת_המערך הטכני בחיל האו,1,0.0,0.0
